TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
2.2500,2015-12-15,2015,12,51,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-21,2015,3,12,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-02-14,2015,2,7,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-12-06,2015,12,49,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-25,2015,3,13,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-25,2015,3,13,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-25,2015,3,13,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-04-13,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-05-19,2015,5,21,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-05-05,2015,5,19,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-11-01,2015,11,44,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-05-07,2015,5,19,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-07-24,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-12,2015,9,37,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-09,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-09,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-30,2015,8,35,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-11-29,2015,11,48,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-16,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-16,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-16,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-10,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-07-10,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-14,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-04-04,2015,4,14,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-03-21,2015,3,12,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-02-21,2015,2,8,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-05-04,2015,5,19,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-17,2015,8,34,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-08-21,2015,8,34,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-10-18,2015,10,42,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-07,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-04-14,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-17,2015,9,38,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-13,2015,8,33,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-13,2015,8,33,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-12-30,2015,12,53,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-06-18,2015,6,25,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
