TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
2.5473,NULL,NULL,NULL,NULL,BENIKE2,Nike,OCE
0.0405,NULL,NULL,NULL,NULL,BENIKE2,Nike,OCE
0.9595,NULL,NULL,NULL,NULL,BENIKE2,Nike,OCE
0.0504,2012-12-09,2012,12,49,BENIKE2,Nike,OCE
0.0169,2012-12-28,2012,12,52,BENIKE2,Nike,OCE
0.3969,2012-12-14,2012,12,50,BENIKE2,Nike,OCE
0.0385,2012-12-16,2012,12,50,BENIKE2,Nike,OCE
0.0954,2012-12-27,2012,12,52,SGLCLNIKE,Nike,OCE
0.8008,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
1.0627,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
0.0269,2012-12-30,2012,12,52,THLCLNIKE,Nike,OCE
0.0385,2012-11-21,2012,11,47,BENIKE2,Nike,OCE
0.8355,2012-12-22,2012,12,51,CNNIKESUZH,Nike,OCE
0.0223,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0246,2012-12-13,2012,12,50,BENIKE2,Nike,OCE
0.7941,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
1.0000,2012-12-13,2012,12,50,PEEQUIPERU,Nike,OCE
0.5181,2012-11-29,2012,11,48,BENIKE2,Nike,OCE
0.0385,2012-12-17,2012,12,51,BENIKE2,Nike,OCE
0.0962,2012-12-16,2012,12,50,BENIKE2,Nike,OCE
0.4804,2012-12-25,2012,12,52,BENIKE2,Nike,OCE
1.0000,2012-12-30,2012,12,52,BENIKE2,Nike,OCE
0.2260,2012-12-10,2012,12,50,BENIKE2,Nike,OCE
0.7740,2012-12-10,2012,12,50,BENIKE2,Nike,OCE
1.0000,2012-12-30,2012,12,52,BENIKE2,Nike,OCE
0.0054,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.1942,2012-12-18,2012,12,51,ESHURLEY99,Nike,OCE
0.0119,2012-12-13,2012,12,50,ESHURLEY99,Nike,OCE
0.0198,2012-12-25,2012,12,52,PANORTHINT,Nike,OCE
1.8065,2012-12-18,2012,12,51,HKNIKEINTE,Nike,OCE
1.8893,2012-11-28,2012,11,48,USNIKEINTL,Nike,OCE
0.0181,2012-12-05,2012,12,49,BENIKE2,Nike,OCE
0.1027,2012-12-27,2012,12,52,SGLCLNIKE,Nike,OCE
0.0654,2012-12-02,2012,12,48,BENIKE2,Nike,OCE
0.0665,2012-12-02,2012,12,48,BENIKE2,Nike,OCE
2.2500,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
2.2500,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
2.0000,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
1.0000,2012-12-17,2012,12,51,BENIKE2,Nike,OCE
1.0000,2012-12-20,2012,12,51,BENIKE2,Nike,OCE
0.0642,2012-12-29,2012,12,52,BENIKE2,Nike,OCE
0.0577,2012-11-25,2012,11,47,BENIKE2,Nike,OCE
0.0204,2012-12-17,2012,12,51,BENIKE2,Nike,OCE
0.1446,2012-12-14,2012,12,50,BENIKE2,Nike,OCE
0.1015,2012-12-22,2012,12,51,PANORTHINT,Nike,OCE
0.3138,2012-12-14,2012,12,50,BENIKE2,Nike,OCE
0.0385,2012-12-17,2012,12,51,BENIKE2,Nike,OCE
0.2012,2012-12-29,2012,12,52,BENIKE2,Nike,OCE
0.0152,2012-12-26,2012,12,52,BENIKE2,Nike,OCE
0.0550,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
1.4705,2012-12-27,2012,12,52,BENIKE2,Nike,OCE
0.0154,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0508,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0658,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.1604,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.2858,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.3773,2012-11-22,2012,11,47,USNIKEINTL,Nike,OCE
0.5169,2012-11-22,2012,11,47,USNIKEINTL,Nike,OCE
0.2098,2012-11-29,2012,11,48,BENIKE2,Nike,OCE
1.0622,2012-11-29,2012,11,48,BENIKE2,Nike,OCE
2.0000,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
2.0000,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
0.8087,2012-12-22,2012,12,51,CNNIKESUZH,Nike,OCE
0.0055,2012-12-22,2012,12,51,CNNIKESUZH,Nike,OCE
0.4746,2012-12-09,2012,12,49,BENIKE2,Nike,OCE
1.0000,2012-12-09,2012,12,49,BENIKE2,Nike,OCE
0.1483,2012-12-18,2012,12,51,HKNIKEINTE,Nike,OCE
0.0101,2012-12-22,2012,12,51,BENIKE2,Nike,OCE
0.3075,2012-12-29,2012,12,52,BENIKE2,Nike,OCE
0.5681,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
0.7154,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
0.1163,2012-12-28,2012,12,52,CNDELTAGAU,Nike,OCE
0.0769,2012-11-03,2012,11,44,BENIKE2,Nike,OCE
0.0138,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0096,2012-12-22,2012,12,51,CNNIKESUZH,Nike,OCE
1.4262,2012-12-22,2012,12,51,CNNIKESUZH,Nike,OCE
0.1765,2012-12-29,2012,12,52,BENIKE2,Nike,OCE
0.1994,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0385,2012-12-09,2012,12,49,BENIKE2,Nike,OCE
0.0517,2012-12-09,2012,12,49,BENIKE2,Nike,OCE
0.0269,2012-12-25,2012,12,52,PANORTHINT,Nike,OCE
0.5181,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
0.2896,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
0.4719,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
0.5512,2012-12-31,2012,12,1,MYLCLNIKE,Nike,OCE
0.4308,2012-12-30,2012,12,52,THLCLNIKE,Nike,OCE
1.0000,2012-11-15,2012,11,46,BENIKE2,Nike,OCE
1.0000,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0585,2012-11-27,2012,11,48,BENIKE2,Nike,OCE
0.6866,2012-11-30,2012,11,48,BENIKE2,Nike,OCE
0.1351,2012-11-30,2012,11,48,BENIKE2,Nike,OCE
0.1783,2012-11-30,2012,11,48,BENIKE2,Nike,OCE
0.0107,2012-11-22,2012,11,47,USNIKEINTL,Nike,OCE
0.0950,2012-11-22,2012,11,47,USNIKEINTL,Nike,OCE
0.0085,2012-12-28,2012,12,52,BENIKE2,Nike,OCE
0.4565,2012-12-25,2012,12,52,BENIKE2,Nike,OCE
2.0000,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
