TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
0.2477,NULL,NULL,NULL,NULL,KRPUMA,Puma,OCE
0.0854,2012-12-05,2012,12,49,CLPUMA,Puma,OCE
1.3894,2012-11-22,2012,11,47,PEPUMADEP,Puma,OCE
0.1367,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.2401,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.4422,2012-12-19,2012,12,51,CLPUMA,Puma,OCE
0.7116,2012-12-19,2012,12,51,PEPUMADEP,Puma,OCE
0.1446,2012-11-22,2012,11,47,PEPUMADEP,Puma,OCE
0.2321,2012-12-23,2012,12,51,BRPUMA SPO,Puma,OCE
0.1620,2012-12-23,2012,12,51,BRPUMA SPO,Puma,OCE
0.0517,2012-12-21,2012,12,51,ESPUMAES,Puma,OCE
0.0996,2012-12-11,2012,12,50,CAVOLCOM,Puma,OCE
0.0470,2012-12-05,2012,12,49,CLPUMA,Puma,OCE
0.4915,2012-12-10,2012,12,50,FRPUMAFR,Puma,OCE
0.2437,2012-11-22,2012,11,47,BOELIORA,Puma,OCE
0.1163,2012-12-31,2012,12,1,DEPUMAAG,Puma,OCE
0.2985,2012-12-31,2012,12,1,SEPUMANORD,Puma,OCE
0.0360,2012-12-05,2012,12,49,PEPUMADEP,Puma,OCE
0.0448,2012-12-05,2012,12,49,BOELIORA,Puma,OCE
0.3175,2012-12-21,2012,12,51,SRTOPSPORT,Puma,OCE
0.0145,2012-05-08,2012,5,19,SEPUMANORD,Puma,OCE
0.1704,2012-12-31,2012,12,1,USVOLCOCOS,Puma,OCE
0.4802,2012-12-21,2012,12,51,ESPUMAES,Puma,OCE
0.1680,2012-12-11,2012,12,50,CAVOLCOM,Puma,OCE
0.0960,2012-12-07,2012,12,49,DEPUMAAG,Puma,OCE
0.2383,2012-12-26,2012,12,52,AUPUMAAUST,Puma,OCE
0.5587,2012-12-09,2012,12,49,BRPUMA SPO,Puma,OCE
0.1492,2012-12-26,2012,12,52,USVOLCOCOS,Puma,OCE
0.3398,2012-12-05,2012,12,49,CLPUMA,Puma,OCE
0.7887,2012-12-14,2012,12,50,ESPUMAES,Puma,OCE
0.0823,2012-12-17,2012,12,51,SEPUMANORD,Puma,OCE
0.5165,2012-12-17,2012,12,51,SEPUMANORD,Puma,OCE
0.1091,2012-12-17,2012,12,51,SEPUMANORD,Puma,OCE
0.0506,2012-12-17,2012,12,51,SEPUMANORD,Puma,OCE
0.0239,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.3475,2012-12-19,2012,12,51,MXRDS,Puma,OCE
1.9401,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.8153,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.3929,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
1.1365,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.3099,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
2.2500,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.1468,2012-11-22,2012,11,47,CLPUMA,Puma,OCE
0.1015,2012-11-22,2012,11,47,BOELIORA,Puma,OCE
1.3445,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.1834,2012-11-22,2012,11,47,CLPUMA,Puma,OCE
0.0148,2012-12-05,2012,12,49,BOELIORA,Puma,OCE
0.1235,2012-12-05,2012,12,49,PEPUMADEP,Puma,OCE
0.0074,2012-12-17,2012,12,51,BRPUMA SPO,Puma,OCE
0.6088,2012-12-13,2012,12,50,PAWORKOUTI,Puma,OCE
0.3055,2012-12-09,2012,12,49,BRPUMA SPO,Puma,OCE
0.5891,2012-11-22,2012,11,47,CLPUMA,Puma,OCE
0.1855,2012-12-05,2012,12,49,BOELIORA,Puma,OCE
0.0492,2012-12-13,2012,12,50,PAWORKOUTI,Puma,OCE
0.5481,2012-12-05,2012,12,49,CLPUMA,Puma,OCE
0.4756,2012-12-23,2012,12,51,BRPUMA SPO,Puma,OCE
